_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,WARD_NAME,MI_PRINX,OBJECTID,CAPACITY,MULTIMODAL,SEASONAL,SHELTERED,SURFACE,STATUS,LOCATION,NOTES,MAP_CLASS,geometry
1,51630,5,Bartonville Ave E,5 Bartonville Ave E,M6M 2B1,YORK,Toronto,20112838,5,None,,None,433,York South-Weston (505),2876415,1,8,No,No,No,asphalt,Delivered, ,No bolt down - in York District,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4945826626564, 43.689484593934]]}"
2,310564,150,Borough Dr,150 Borough Dr,M1P 4N7,SCARBOROUGH,Toronto,107945,150,None,,None,7397,Scarborough Centre (2121),3838259,2,8,Yes,No,No, ,Installed,Scarborough Civic Centre,adjacent to civic centre & Square,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2572409577755, 43.772810595742]]}"
3,367443,71,New Forest Sq,71 New Forest Sq,M1V 2Z6,SCARBOROUGH,Toronto,20050441,71,None,,None,9497,Scarborough-Agincourt (2222),1739719,3,8,No,No,No,concrete,Installed, ,60m south of Steeles on W side of Kennedy (closest valid address),Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3074473906934, 43.8230331061332]]}"
4,379258,95,River Grove Dr,95 River Grove Dr,M1W 3T8,SCARBOROUGH,Toronto,20052191,95,None,,None,8803,Scarborough-Agincourt (2222),1926239,4,8,No,No,No,concrete,Installed, ,S-W corner of Birchmount & Steeles (closest valid address),Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3173896510384, 43.8209470944401]]}"
5,394585,24,Victoria Park Ave,24 Victoria Park Ave,M4E 3R9,SCARBOROUGH,Toronto,113274,24,None,,None,370,Beaches-East York (1919),2770103,5,8,No,No,No, ,Installed, ,One 8-bike rack on TTC property,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2810262938561, 43.6753630680448]]}"
6,772775,315,Bloor St W,315 Bloor St W,M5S 1A3,former TORONTO,Toronto,1142564,315,None,,None,458,University-Rosedale (1111),1591359,6,8,No,No,No,concrete,Installed, ,White mark,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3985624500635, 43.6674469424306]]}"
7,772800,398,Bloor St W,398 Bloor St W,M5S 1X4,former TORONTO,Toronto,1142870,398,None,,None,458,University-Rosedale (1111),2042974,7,16,No,No,No,asphalt,Approved, ,50m north of Bloor,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4073484623935, 43.6661256151956]]}"
8,772833,481,Bloor St W,481 Bloor St W,M5S 1X9,former TORONTO,Toronto,1142870,481,None,,None,458,University-Rosedale (1111),1755303,8,8,No,No,No,asphalt,Approved, ,bikes face east,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4071172092532, 43.6657537893633]]}"
9,772852,509,Bloor St W,509 Bloor St W,M5S 1Y2,former TORONTO,Toronto,1142919,509,None,,None,458,University-Rosedale (1111),2459164,9,8,No,No,No,asphalt,Installed, ,in exchange for Borden corral,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4083859964734, 43.6654609016074]]}"
10,772899,612,Bloor St W,612 Bloor St W,M6G 1K7,former TORONTO,Toronto,1143160,612,None,,None,458,University-Rosedale (1111),1777979,10,8,No,No,No,concrete,Installed, , ,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4138388158142, 43.6647341700049]]}"
11,773004,813,Bloor St W,813 Bloor St W,M6G 1L8,former TORONTO,Toronto,30039479,813,None,,None,458,University-Rosedale (1111),3302429,11,8,No,No,No, ,Installed, ,Montrose - Dufferin Streetscaping,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4217629457737, 43.6625538116032]]}"
